cnt,Tag1,Tag2
"241413","1","1"
"1424","1","2"
"2792","1","3"
"773","1","5"
"260","1","8"
"145646","1","9"
"1962","1","10"
"111","1","12"
"456","1","16"
"1934","1","17"
"3832","1","22"
"60","1","33"
"13881","1","41"
"39","1","53"
"281","1","58"
"4483","1","64"
"20388","1","96"
"1108","1","114"
"489","1","134"
"448","1","153"
"158","1","154"
"229","1","197"
"854","1","219"
"51","1","227"
"34","1","236"
"141","1","242"
"614","1","248"
"157","1","256"
"342","1","259"
"1309","1","277"
"31","1","296"
"163","1","305"
"40","1","306"
"96","1","317"
"306","1","348"
"135","1","367"
"139","1","368"
"12695","1","378"
"31","1","402"
"75","1","423"
"69","1","432"
"161","1","451"
"85","1","452"
"1605","1","522"
"122","1","523"
"10","1","538"
"400","1","543"
"67","1","572"
"146","1","578"
"55","1","580"
"264","1","581"
"1","1","596"
"2101","1","598"
"129","1","603"
"16","1","623"
"20","1","624"
"37","1","722"
"9","1","817"
"1671","1","820"
"35","1","824"
"154","1","854"
"401","1","869"
"146","1","905"
"746","1","942"
"2","1","981"
"2","1","990"
"5","1","991"
"22","1","997"
"17","1","1014"
"51","1","1018"
"20","1","1081"
"9","1","1083"
"387","1","1124"
"48","1","1158"
"34","1","1259"
"79","1","1384"
"598","1","1386"
"4","1","1398"
"11","1","1399"
"4","1","1435"
"240","1","1461"
"120","1","1470"
"24","1","1488"
"20","1","1565"
"18","1","1702"
"22","1","1848"
"9","1","1871"
"15","1","1925"
"57","1","2054"
"147","1","2193"
"194","1","2314"
"55","1","2358"
"500","1","2387"
"2","1","2426"
"89","1","2531"
"139","1","2556"
"4","1","2587"
"17","1","2751"
"477","1","2754"
"4","1","2763"
"9","1","3145"
"75","1","3158"
"13","1","3235"
"1","1","3318"
"7","1","3385"
"63","1","3496"
"1051","1","3586"
"3","1","3666"
"3","1","3788"
"61","1","3849"
"5","1","3961"
"66","1","3981"
"21","1","4037"
"201","1","4087"
"85","1","4088"
"8","1","4190"
"56","1","4196"
"16","1","4254"
"45","1","4452"
"5","1","4597"
"18","1","4928"
"33","1","4945"
"915","1","4985"
"12","1","5171"
"2","1","5192"
"45","1","5223"
"16","1","5254"
"93","1","5382"
"57","1","5486"
"148","1","5569"
"19","1","5600"
"1074","1","5608"
"4","1","5728"
"13","1","5827"
"25","1","5852"
"68","1","5871"
"3","1","5989"
"16","1","5990"
"14","1","6023"
"39","1","6067"
"7","1","6108"
"12","1","6129"
"1","1","6244"
"2","1","6284"
"3","1","6418"
"173","1","6439"
"2","1","6458"
"8","1","6540"
"2","1","6650"
"111","1","7003"
"7","1","7106"
"1","1","7735"
"5","1","7835"
"19","1","7917"
"9","1","7967"
"12","1","7978"
"24","1","7989"
"12","1","8011"
"30","1","8112"
"4","1","8241"
"15","1","8318"
"51","1","8454"
"44","1","8512"
"8","1","8746"
"6","1","8908"
"12","1","9020"
"84","1","9069"
"3","1","9182"
"5","1","9278"
"15","1","9298"
"13","1","9374"
"12","1","9745"
"4","1","9914"
"1","1","10079"
"1","1","10104"
"69","1","10256"
"9","1","10313"
"3","1","10315"
"5","1","10477"
"6","1","10502"
"2","1","10712"
"14","1","10776"
"9","1","11099"
"1","1","11137"
"6","1","11529"
"12","1","11768"
"6","1","11785"
"1","1","11839"
"1","1","11950"
"14","1","12296"
"2","1","12607"
"3","1","12861"
"17","1","12862"
"1","1","13458"
"86","1","13591"
"3","1","13707"
"11","1","13930"
